Word           | Frequency
crumby         | 1    
comes          | 1    
visits         | 1    
end            | 1    
drive          | 1    
month          | 1    
jaguar         | 1    
english        | 1    
jobs           | 1    
hundred        | 1    
miles          | 1    
hour           | 1    
cost           | 1    
bucks          | 1    
use            | 1    
regular        | 1    
writer         | 1    
book           | 1    
short          | 1    
stories        | 1    
case           | 1    
best           | 1    
kid            | 1    
bought         | 1    
own            | 1    
money          | 1    
killed         | 1    
being          | 1    
prostitute     | 1    
movies         | 1    
mention        | 1    
telling        | 1    
day            | 1    
pennsylvania   | 1    
seen           | 1    
ads            | 1    
advertise      | 1    
magazines      | 1    
showing        | 1    
hotshot        | 1    
jumping        | 1    
fence          | 1    
play           | 1    
polo           | 1    
saw            | 1    
anywhere       | 1    
underneath     | 1    
picture        | 1    
says           | 1    
since          | 1    
1888           | 1    
boys           | 1    
young          | 1    
men            | 1    
strictly       | 1    
birds          | 1    
than           | 1    
saturday       | 1    
commit         | 1    
suicide        | 1    
win            | 1    
three          | 1    
o              | 1    
clock          | 1    
revolutionary  | 1    
war            | 1    
field          | 1    
teams          | 1    
bashing        | 1    
each           | 1    
couldn         | 1    
grandstand     | 1    
hot            | 1    
yelling        | 1    
deep           | 1    
except         | 1    
scrawny        | 1    
faggy          | 1    
visiting       | 1    
brought        | 1    
people         | 1    
seniors        | 1    
allowed        | 1    
bring          | 1    
terrible       | 1    
matter         | 1    
looked         | 1    
somewhere      | 1    
while          | 1    
scratching     | 1    
arms           | 1    
blowing        | 1    
noses          | 1    
giggling       | 1    
selma          | 1    
headmaster     | 1    
daughter       | 1    
showed         | 1    
often          | 1    
exactly        | 1    
type           | 1    
drove          | 1    
mad            | 1    
desire         | 1    
girl           | 1    
sat            | 1    
bus            | 1    
struck         | 1    
conversation   | 1    
nose           | 1    
nails          | 1    
bitten         | 1    
bleedy         | 1    
falsies        | 1    
point          | 1    
sorry          | 1    
manure         | 1    
great          | 1    
phony          | 1    
slob           | 1    
manager        | 1    
gone           | 1    
morning        | 1    
mcburney       | 1    
foils          | 1    
equipment      | 1    
subway         | 1    
fault          | 1    
keep           | 1    
map            | 1    
thirty         | 1    
dinnertime     | 1    
ostracized     | 1    
train          | 1    
funny          | 1    
say            | 1    
history        | 1    
figured        | 1    
note           | 1    
wanted         | 1    
went           | 1    
coming         | 1    
forgot         | 1    
account        | 1    
flunking       | 1    
subjects       | 1    
gave           | 1    
frequent       | 1    
warning        | 1    
midterms       | 1    
conference     | 1    
rating         | 1    
does           | 1    
december       | 1    
witch          | 1    
teat           | 1    
stupid         | 1    
reversible     | 1    
stolen         | 1    
camel          | 1    
fur            | 1    
lined          | 1    
pocket         | 1    
wealthy        | 1    
families       | 1    
expensive      | 1    
kidding        | 1    
freezing       | 1    
ass            | 1    
watching       | 1    
hanging        | 1    
trying         | 1    
schools        | 1    
places         | 1    
care           | 1    
sad            | 1    
bad            | 1    
goodby         | 1    
leave          | 1    
worse          | 1    
lucky          | 1    
sudden         | 1    
thought        | 1    
helped         | 1    
make           | 1    
suddenly       | 1    
remembered     | 1    
october        | 1    
robert         | 1    
paul           | 1    
campbell       | 1    
front          | 1    
dark           | 1    
stop           | 1    
taught         | 1    
biology        | 1    
zambesi        | 1    
stuck          | 1    
head           | 1    
window         | 1    
us             | 1    
dorm           | 1    
ready          | 1    
chance         | 1    
need           | 1    
most           | 1    
turned         | 1    
toward         | 1    
live           | 1    
campus         | 1    
lived          | 1    
anthony        | 1    
wayne          | 1    
avenue         | 1    
main           | 1    
gate           | 1    
then           | 1    
waited         | 1    
wind           | 1    
heavy          | 1    
smoker         | 1    
made           | 1    
another        | 1    
grew           | 1    
six            | 1    
half           | 1    
inches         | 1    
checkups       | 1    
healthy        | 1    
route          | 1    
204            | 1    
icy            | 1    
fell           | 1    
guess          | 1    
terrifically   | 1    
sun            | 1    
crossed        | 1    
rang           | 1    
doorbell       | 1    
ears           | 1    
hurting        | 1    
move           | 1    
fingers        | 1    
loud           | 1    
almost         | 1    
open           | 1    
maid           | 1    
themselves     | 1    
lovely         | 1    
death          | 1    
glad           | 1    
your           | 1    
ask            | 1    
deaf           | 1    
hung           | 1    
brushed        | 1    
hand           | 1    
wear           | 1    
crew           | 1    
comb           | 1    
louder         | 1    
closed         | 1    
asked          | 1    
away           | 1    
yet            | 1    
behaving       | 1    
perfect        | 1    
